,Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image,Brand
653,"OPPO A5 (Diamond Blue, 32 GB)",4.4,"14,990",4,32,256.0,15.75,6.2,13.0,2.0,,,4230,Qualcomm Snapdragon 450 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
654,"OPPO F5 (Black, 64 GB)",4.4,"26,603",6,64,256.0,15.24,6.0,16.0,,,,3200,Mediatek MT6763T Octa Core 2.5 GHz Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
655,"Vivo Y90 (Gold, 16 GB)",4.3,"7,990",2,16,256.0,15.8,6.22,8.0,,,,4030,MediaTek Helio A22 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
656,"Infinix Note 5 (Milan Black, 32 GB)",4.2,"10,599",3,32,128.0,15.21,5.99,12.0,,,,4500,Mediatek helio P23 Octa core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Infinix
657,"I Kall K200 (Golden, 16 GB)",3.5,"4,499",2,16,,13.97,5.5,5.0,,,,2500,Quadcore Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
658,"I Kall K200 (Blue, 16 GB)",3.5,"4,699",2,16,,13.97,5.5,5.0,,,,2500,Quadcore Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
659,"I Kall K7 (Green+Blue, 16 GB)",3.3,"4,799",2,16,,15.24,6.0,5.0,,,,2800,Exynos 9611�Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
660,"OPPO A7 (Glaring Gold, 64 GB)",4.4,"18,949",4,64,256.0,15.75,6.2,13.0,2.0,,,4230,Qualcomm Snapdragon 450 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
661,"Gionee P7 (Grey, 16 GB)",3.8,"12,000",2,16,128.0,12.7,5.0,8.0,,,,2300,Quadcore Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
662,"Vivo X50 (Glaze Black, 256 GB)",4.3,"37,990",8,256,,16.66,6.56,48.0,13.0,8,5.0,4200,Qualcomm Snapdragon 730 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
663,"Vivo X50 (Frost Blue, 256 GB)",4.3,"37,990",8,256,,16.66,6.56,48.0,13.0,8,5.0,4200,Qualcomm Snapdragon 730 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
